target,feature,spearman_rho,p_value
roberta_best_f1,n,0.3354,0.3435
roberta_best_f1,design_rate,0.6991,0.0245
roberta_best_f1,median_tokens,0.3818,0.2763
roberta_best_f1,empty_description_rate,-0.7047,0.0229
roberta_best_f1,bug_share,0.6121,0.06
roberta_best_f1,unseen_issue_type_rate,0.157,0.6648
roberta_best_f1,oov_token_rate,-0.7212,0.0186
roberta_best_f1,jsd_all_vs_rest,-0.4424,0.2004
roberta_best_f1,jsd_design_vs_rest_design,-0.3818,0.2763
roberta_best_f1,keyword_score_auc,0.4545,0.1869
roberta_best_f1,design_with_zero_keywords_rate,-0.3939,0.26
roberta_best_f1,f1_all_design_floor,0.6991,0.0245
roberta_best_auc,n,0.2195,0.5423
roberta_best_auc,design_rate,0.3708,0.2915
roberta_best_auc,median_tokens,0.4909,0.1497
roberta_best_auc,empty_description_rate,-0.5495,0.0999
roberta_best_auc,bug_share,0.8545,0.0016
roberta_best_auc,unseen_issue_type_rate,-0.0205,0.9552
roberta_best_auc,oov_token_rate,-0.6848,0.0289
roberta_best_auc,jsd_all_vs_rest,-0.4788,0.1615
roberta_best_auc,jsd_design_vs_rest_design,-0.3333,0.3466
roberta_best_auc,keyword_score_auc,0.6,0.0667
roberta_best_auc,design_with_zero_keywords_rate,-0.3818,0.2763
roberta_best_auc,f1_all_design_floor,0.3708,0.2915
mean_f1_all_models,n,0.3354,0.3435
mean_f1_all_models,design_rate,0.5654,0.0885
mean_f1_all_models,median_tokens,0.5152,0.1276
mean_f1_all_models,empty_description_rate,-0.64,0.0462
mean_f1_all_models,bug_share,0.7333,0.0158
mean_f1_all_models,unseen_issue_type_rate,-0.0068,0.9851
mean_f1_all_models,oov_token_rate,-0.7697,0.0092
mean_f1_all_models,jsd_all_vs_rest,-0.5515,0.0984
mean_f1_all_models,jsd_design_vs_rest_design,-0.4545,0.1869
mean_f1_all_models,keyword_score_auc,0.5515,0.0984
mean_f1_all_models,design_with_zero_keywords_rate,-0.3697,0.2931
mean_f1_all_models,f1_all_design_floor,0.5654,0.0885
mean_auc_all_models,n,0.2378,0.5082
mean_auc_all_models,design_rate,0.1398,0.7001
mean_auc_all_models,median_tokens,0.6727,0.033
mean_auc_all_models,empty_description_rate,-0.6271,0.0523
mean_auc_all_models,bug_share,0.9758,0.0
mean_auc_all_models,unseen_issue_type_rate,-0.2731,0.4452
mean_auc_all_models,oov_token_rate,-0.6,0.0667
mean_auc_all_models,jsd_all_vs_rest,-0.4303,0.2145
mean_auc_all_models,jsd_design_vs_rest_design,-0.3455,0.3282
mean_auc_all_models,keyword_score_auc,0.4788,0.1615
mean_auc_all_models,design_with_zero_keywords_rate,-0.3939,0.26
mean_auc_all_models,f1_all_design_floor,0.1398,0.7001
roberta_best_f1_lift_over_floor,n,0.6159,0.058
roberta_best_f1_lift_over_floor,design_rate,-0.0729,0.8413
roberta_best_f1_lift_over_floor,median_tokens,0.3576,0.3104
roberta_best_f1_lift_over_floor,empty_description_rate,-0.5495,0.0999
roberta_best_f1_lift_over_floor,bug_share,0.8303,0.0029
roberta_best_f1_lift_over_floor,unseen_issue_type_rate,-0.0956,0.7928
roberta_best_f1_lift_over_floor,oov_token_rate,-0.4667,0.1739
roberta_best_f1_lift_over_floor,jsd_all_vs_rest,-0.2727,0.4458
roberta_best_f1_lift_over_floor,jsd_design_vs_rest_design,-0.1879,0.6032
roberta_best_f1_lift_over_floor,keyword_score_auc,0.2606,0.4671
roberta_best_f1_lift_over_floor,design_with_zero_keywords_rate,-0.7212,0.0186
roberta_best_f1_lift_over_floor,f1_all_design_floor,-0.0729,0.8413
