project,n,design_rate,median_tokens,empty_description_rate,bug_share,unseen_issue_type_rate,oov_token_rate,jsd_all_vs_rest,jsd_design_vs_rest_design,keyword_score_auc,design_with_zero_keywords_rate,f1_all_design_floor,roberta_best_f1,roberta_best_auc,mean_f1_all_models,mean_auc_all_models,roberta_best_f1_lift_over_floor
CONFSERVER,179,0.3352,129.0,0.0,0.4525,0.0,0.057,0.2476,0.2899,0.7741,0.2833,0.5021,0.8108,0.9569,0.7275,0.872,0.3087
DM,181,0.2597,47.0,0.011,0.0884,0.0,0.1554,0.3041,0.326,0.7251,0.2979,0.4123,0.6804,0.8198,0.5396,0.7482,0.2681
DNN,180,0.25,86.5,0.0056,0.5667,0.0,0.0905,0.266,0.3278,0.8067,0.1778,0.4,0.775,0.9625,0.7198,0.899,0.375
FAB,178,0.2921,67.0,0.0225,0.2697,0.0112,0.13,0.3074,0.3332,0.731,0.2308,0.4522,0.6993,0.8884,0.622,0.819,0.2471
JRASERVER,183,0.2842,109.0,0.0,0.3552,0.0055,0.0461,0.2366,0.2814,0.8519,0.1154,0.4426,0.7667,0.9301,0.6675,0.841,0.3241
MESOS,177,0.3107,64.0,0.0,0.4068,0.0169,0.1337,0.309,0.3518,0.7421,0.1818,0.4741,0.7903,0.9478,0.6745,0.8644,0.3162
MULE,182,0.3077,35.5,0.0055,0.3462,0.2253,0.0974,0.3121,0.3789,0.6824,0.125,0.4706,0.8033,0.9315,0.6883,0.8334,0.3327
NEXUS,183,0.2842,80.0,0.0,0.5246,0.0,0.0864,0.271,0.3009,0.7359,0.1731,0.4426,0.807,0.9576,0.7267,0.8801,0.3644
SERVER,162,0.1975,46.0,0.216,0.321,0.0,0.1692,0.3507,0.3968,0.6796,0.4062,0.3299,0.449,0.8293,0.4742,0.7785,0.1191
TIMOB,181,0.2486,81.0,0.0,0.5028,0.0,0.1501,0.3159,0.3644,0.6659,0.1333,0.3982,0.7434,0.9227,0.6659,0.8691,0.3452
